textbox22
generated on 29/11/2018 15:38:34 UTC

Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2000,1,2000-01-03,2000-01-09,,553,0,,59,,0,59,,,4,4,63,,Widespread Outbreak
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2000,2,2000-01-10,2000-01-16,,304,2,,52,,0,54,,,0,0,54,,Regional Outbreak
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2000,3,2000-01-17,2000-01-23,,252,0,,51,,0,51,,,7,7,58,,Local Outbreak
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2000,4,2000-01-24,2000-01-30,,116,0,,22,,0,22,,,0,0,22,,Local Outbreak
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2000,5,2000-01-31,2000-02-06,,95,0,,20,,0,20,,,1,1,21,,Local Outbreak
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2000,6,2000-02-07,2000-02-13,,59,0,,22,,0,22,,,0,0,22,,Local Outbreak
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2000,7,2000-02-14,2000-02-20,,46,0,,7,,10,17,,,3,3,20,,Local Outbreak
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2000,8,2000-02-21,2000-02-27,,23,0,,4,,3,7,,,0,0,7,,Sporadic
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2000,9,2000-02-28,2000-03-05,,63,0,,4,,5,9,,,2,2,11,,Sporadic
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2000,10,2000-03-06,2000-03-12,,15,0,,3,,0,3,,,0,0,3,,Sporadic
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2000,11,2000-03-13,2000-03-19,,3,0,,1,,0,1,,,0,0,1,,Sporadic
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2000,12,2000-03-20,2000-03-26,,11,0,,2,,0,2,,,1,1,3,,Sporadic
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2000,13,2000-03-27,2000-04-02,,8,0,,0,,0,0,,,0,0,0,,No Activity
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2000,14,2000-04-03,2000-04-09,,4,0,,0,,0,0,,,1,1,1,,Sporadic
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2000,15,2000-04-10,2000-04-16,,6,0,,2,,0,2,,,1,1,3,,Sporadic
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2000,16,2000-04-17,2000-04-23,,0,0,,0,,0,0,,,0,0,0,,No Activity
